Song Title,Lyrics,URL
متخفش مني,"متخفش مني
متخفش مني
متخفش مني
متخفش مني
أنا أللي زيي تخاف عليه
ده أنا أللي زيي مرة
في ألعمر تلاقيه
تعالي حبيبي
مش هنسى حبك مهما كان يا حبيبي
غير حضنك أنت ماليش مكان يا حبيبي
فهمني خايف مني ليه؟
أنا مش حاكمل يوم بعمري
الا بيك
وعشان أعيش
لازم أموت طول عمري فيك
متخفش مني",https://lyricstranslate.com/en/elissa-metkahafsh-minni-lyrics.html
أجمل إحساس,"أجمل إحساس
أجمل إحساس
أجمل إحساس
أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك
خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك
أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك
خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك
عاشقاك بجنون روحى انا قلبى المفتون كله منى
وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا
عاشقاك بجنون روحى انا قلبى المفتون كله منى
وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا
يا ويلى يا ناري قولى إزاى أدارى
شوقى و لهفة قلبى فى قربك حتى و احنا سوا
بتنور سنينى و بيكبر حنينى
قرب منى تعالى فى حضنى و املى حياتى هوى
يا ويلى يا ناري قولى إزاى أدارى
شوقى و لهفة قلبى فى قربك حتى و احنا سوا
بتنور سنينى و بيكبر حنينى
قرب منى تعالى فى حضنى و املى حياتى هوى
عاشقاك بجنون روحى انا قلبى المفتون كله منى
وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا
عاشقاك بجنون روحى انا قلبى المفتون كله منى
وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا
غيرنى بثوانى إحساسى اللى جانى
اول مرة احس بالدنيا حلوة فى عينى كدة
ايه اتمنى تانى فيه كل الأمانى
دة انت مليت الدنيا علىَّ بإلأشواق و الهنا
عاشقاك بجنون روحى انا قلبى المفتون كله منى
وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا
عاشقاك بجنون روحى انا قلبى المفتون كله منى
وياك بيعيش أحلى هنا، حبيبى أنا، يا روحى أنا
أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك
خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك
أجمل إحساس فى الكون، إنك تعشق بجنون و ده حالى معاك
خلتنى اعيش ايام، مليانة بشوق و غرام دوبنى هواك
أجمل إحساس",https://lyricstranslate.com/en/elissa-agmal-ehsas-lyrics.html
أسعد واحدة,"أسعد واحدة
أسعد واحدة
أسعد واحدة
الفرحة اللي أنا فيها دى كلها ترجع ليك
وأناجنبك راضية ومرتاحه لكل مافيك
سيبت أنا كل الدنيا عشانك
وهشاركك
حضنك ومكانك
وبقولك ياحبيبي حياتي أنا ملك ايديك
الفرحة اللي أنا فيها دى كلها ترجع ليك
وأناجنبك راضية ومرتاحه لكل مافيك
سيبت أنا كل الدنيا عشانك
وهشاركك
حضنك ومكانك
وبقولك ياحبيبي حياتي أنا ملك ايديك
مين زينا ياحبيبي الليلة قولي فيه مين
أنا حاسه من كتر الشوق اننا رايحين
علي دنيا حب هتجمعنا
والكون كله ده مش هيسعنا
وهاعيش أسعد واحده أنا وأنت سنين وسنين
ياه علي الفرحة دي اللي أنا فيها
يوم بالدنيا دي ولياليها
ياه علي الفرحة دي اللي أنا فيها
يوم بالدنيا دي ولياليها
وحياتي اللي بحلم بيها
هاعيشهالك حبيبي
وايه تاني في حياتي ناقصني
وأنت في حضني وأنت لامسني
وايه تاني في حياتي ناقصني
وأنت في حضني وأنت لامسني
من كل العيون احرسني أنا ملكك حبيبي
الفرحة اللي أنا فيها دى كلها ترجع ليك
وأناجنبك راضية ومرتاحه لكل مافيك
سيبت أنا كل الدنيا عشانك
وهشاركك
حضنك ومكانك
وبقولك ياحبيبي حياتي أنا ملك ايديك
مين زينا ياحبيبي الليلة قولي فيه مين
أنا حاسه من كتر الشوق اننا رايحين
علي دنيا حب هتجمعنا
والكون كله ده مش هيسعنا
وهاعيش أسعد واحده أنا وأنت سنين وسنين
أسعد واحدة",https://lyricstranslate.com/en/elissa-assad-wahda-lyrics.html
أغلى الحبايب ,"أغلى الحبايب
أغلى الحبايب
أغلى الحبايب
أغلى الحبايب إللي عن حياتي غايب
لو عدي عمري كله مش هنساه
وحياة غلاوته قلبي من فراقه دايب
وحشاني دنيا عشت فيها معاه
مهما في حياتي العمر فات
فكراله أجمل ذكريات
جوايا هتعيش بالسنين
لسه الحنين في القلب ليه
ده إللي إحنا عشنا ليالي فيه
في العمر ميجيش مرّتين
مهما أقابل بعد منه ناس كتيرة
لسه إللي بينا في قلبي زي زمان
والله ما ليّا في الدنيادي غيره سيرة
عمري ما أعزّ عنه روحي كمان
أغلى الحبايب",https://lyricstranslate.com/en/elissa-aghla-el-habayeb-lyrics.html
أنا بستغرب عليه ,"أنا بستغرب عليه
أنا بستغرب عليه
أنا بستغرب عليه
انا بستغرب علیه
من اول ثانیه شافنى
بعنیه الاتنین خطفنى
اول حب یصادفنى
معرفش حصله ایه
انا بستغرب علیه
لیکون فى حد قاله
او شوقى یکون واصله
لو فاتنى العمر کله
یرجع حبى یلاقیه
انا بستغرب علیه
لوحدى طب وماله؟
خلاص مش محتجاله
کل العالم بحاله
ولا یغنى عن سؤاله
بقى بالنسبالى ایه
حب العالم بحاله
فوق کل اللى فى خیاله
ولا عمري هنسهاله
قلبى اللى مشغول علیه
بقى بالنسبالى ایه
دا حبیبى وکل حاجه
دا مسبش فى قلبى حاجه
مش لاقیه انا اى حاجه
توصف احساسى بیه
أنا بستغرب عليه",https://lyricstranslate.com/en/elissa-ana-bastaghrab-alih-lyrics.html
أنا شبه نسيتك,"أنا شبه نسيتك
أنا شبه نسيتك
أنا شبه نسيتك
أنا شبه نسيتك
تقريبا كده بفتكرك
على فترات متباعدة
أنا شبه نسيتك قلبي فـ نسيانك ما بقاش
محتاج أي مساعدة
تلقائي وبالوقت الوجع اللي انا فيه بيروح
وبدأت ألاقي حاجات في حياتي كتيرة أهم
مش بشغل بالي فـ جزء بسيط مجروح في الروح
ده ما فيش جرح بيفضل مفتوح لازم بيلم
كان وضع يحزن والموضوع كان في الأول
مش سهل وصعب عليا
بس أنا بتحسن وبقيت على وشك إن أنسى
وأرجع بعدك طبيعية
ده كلام وبقولو للناس وأنا حاسة بعكسو
متخيل واصلة لإيه
ما هي نظرة شفقة هتخلي الجرح فـ بعدك
جرحين طب هعمل إيه
خلتني أختار بين إني أموت بعدك بهدوء
أو كل الدنيا تشوفني بموت وده مش مقبول
لا أنا قادرة انساك ولا قادرة أعيش
ولا عارفة أفوق
وعشان كده لما في حدا بيسأل لازم أقول
أنا شبه نسيتك
أنا شبه نسيتك",https://lyricstranslate.com/en/elissa-%D8%A3%D9%86%D8%A7-%D8%B4%D8%A8%D9%87-%D9%86%D8%B3%D9%8A%D8%AA%D9%83-lyrics.html
أنا مجنونة,"أنا مجنونة
أنا مجنونة
أنا مجنونة
بالعالم مافي بجنونك
بتغار عليا من عيونك
وعدني اني ما بخونك حتي بنظرة
عم فكر ضيع خيالي تامشي وتعرفني لحالي
ولما بشوفك اقبالي بسرق غمرا
انا مجنونة مثلك صرت قبلك
انا ما بيوم عرفت
قول بحبك لا ما قلت الا معاك
انا مجنونة مثلك صرت قبلك
انا مابيوم عرفت
قول بحبك لا ما قلت الا معاك
من يوم اللي سرقت قلبي
ضاع ومش ذنبك ذنبي
ما تتخيل شو صعبي تكون بعيد
وجودك حبيبي بيحييني
بينورلي كل سنيني
وبحس لما بتحميني خلقت من جديد
انا مجنونة مثلك صرت قبلك
انا ما بيوم عرفت
قول بحبك لا ما قلت الا معاك
أنا مجنونة",https://lyricstranslate.com/en/elissa-ana-magnoona-lyrics.html
أنا و بس ,"بدك تعرف لما بشوفك أنا شو بحس
بحس الدنيي كلا ملكي أنا وبس
بشوف القمر حدي
والهوا عا خدي
وإيديك المخدة
وعينيك بحر وشمس
وبطير
وبطير من كتر الفرح لبعيد
وبصير عم برسم معك مواعيد
ويزيد حبك بالقلب بيزيد
وبروح
وبروح عا دنيي ما فيها هموم
فيها سهر فيها قمر ونجوم
وغيوم... فيها بتنمحي الغيوم
أنا كيف بدي خبرك إني
ما بعيش لحظة لو غبت عني
خليك لو حتى زعلت مني
لا تروح
خليك حدي غمرني بدي ياك
بحبك أنا
بحبك أنا وبهواك
إنساك صعبة يا حلو إنساك
لا تروح",https://lyricstranslate.com/en/elissa-ana-w-bas-lyrics.html
أنا وحيدة,"أنا وحيدة
أنا وحيدة
أنا وحيدة
أنا وحيدة
ده أنا من كتر ما جرالي
بيصعب حالي على حالي
ومش عارفة
منين جاية ورايحة لفين
أنا ضعيفة
ليالي الوحدة دي مخيفة
حياتي مملة وسخيفة
في نفس الدايرة أنا ماشية
بقالي سنين
بنام بس الوجع صاحي
ومين بيحس بجراحي
لإمتى يا قلبي هاتخبي
وإمتى يا روحي ترتاحي
وجاية دنيتي عليا
ومنسية
ساعات ببكي وأنا بغني
ويسرح بيا تفكيري
بطمني وبحضني
ما أنا أصلي ماليش غيري
وبمسح دمعة في عينيا بإيديا
ومش فارق
بقابل ياما وبفارق
ملامح بكرا مش ثابت
بقيت حتى ما بحلمش في يوم أرتاح
وموعودة
بتعبي وخوفي موعودة
حياتي كإنها أوضة
تبان جنة
لكن بابها مالوش مفتاح
أنا وحيدة",https://lyricstranslate.com/en/elissa-ana-wahida-lyrics.html
أنت الطهر يا مريم,"أنت الطهر يا مريم
أنت الطهر يا مريم
أنت الطهر يا مريم
أنت الطهر يا مريم أنقذي لبنان
عطر حبك موجود في كل مكان
أَنْتِ الطّهرَ يا مريم أَنَقْذَي لُبْنَانَ
عُطُرِ حُبَكِ مَوْجُودِ فِي كُلَّ مَكَانَ
يا سلطانة السماوات وجميع المخلوقات
يا سُلْطَانَةً السَّمَاواتَ وَجَمِيعَ الْمَخْلُوقَاتِ
خذيني الى يسوع اشكرك ربي يسوع
حبك يشعل قلبي يا أم يسوع
يأخذني الى دنيا بعيدة عن وادي الدموع
حُبَكُ يُشْعِلُ قُلَّبُي يا أَمْ يسوع
يأخذني الى دنيا بَعيدَةٍ عَنْ وَادِي الدُّموعِ
لا اريد بعدك يا امي وسلطانتي
اريني وَجِهَ يسوع اُشْكُرْكَ رَبَّي يسوع
دفئ عينيك يا امي يسحر القلوب
يا لجمال وجهك القلب يذوب
دَفِئُ عَيِّنِيِكَ يا امي يُسَحِّرُ الْقُلُوبُ
يا لِجِمَالِ وَجْهِكَ الْقلبَ يَذُوبُ
انتي يا باب السماء أم الأمل والرجاء
أريني وجه يسوع أشكرك ربي يسوع
الطهر يا مريم
أنت الطهر يا مريم",https://lyricstranslate.com/en/elissa-anti-al-tohr-ya-mariam-%D8%A3%D9%86%D8%AA-%D8%A7%D9%84%D8%B7%D9%87%D8%B1-%D9%8A%D8%A7-%D9%85%D8%B1%D9%8A%D9%85-lyrics.html
